City,ft,bt,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl),Brand,Mileage_Category,Transmission_Manual
0,4,7,2,50,2017,777000.0,2,0.22235225277940318,7,1,0
0,4,2,1,66,2019,753000.0,2,0.42129900526623765,9,2,1
0,1,7,2,147,2017,1226000.0,8,0.29256875365710944,18,1,0
0,4,2,1,66,2017,725000.0,2,0.4505558806319484,9,2,1
0,1,8,1,86,2020,1150000.0,8,0.6436512580456407,10,0,1
0,1,2,2,179,2015,629000.0,2,0.8308952603861907,19,0,1
0,4,8,2,180,2013,447000.0,2,0.6676418958455238,19,0,1
0,1,4,2,165,2014,786000.0,2,0.5716793446459919,19,0,1
0,4,2,1,66,2018,745000.0,2,0.4505558806319484,9,2,1
0,4,2,1,77,2014,490000.00000000006,2,0.4622586307782329,10,2,0
