City,ft,bt,Transmission,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl)
Bangalore,Petrol,SUV,Automatic,2,Ford Ecosport,2016,675000.0,Third Party insurance,15.63
Bangalore,Petrol,Hatchback,Manual,2,Honda Brio,2013,330000.0,Third Party insurance,19.4
Bangalore,Petrol,Sedan,Automatic,2,Toyota Yaris,2018,875000.0,Third Party insurance,17.8
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno,2017,869000.0,Comprehensive,21.4
Bangalore,Diesel,Sedan,Manual,2,Volkswagen Vento,2012,425000.0,Third Party insurance,20.54
Bangalore,Petrol,Sedan,Manual,1,Honda City,2019,1070000.0,Third Party insurance,17.4
Bangalore,Petrol,SUV,Manual,2,Ford Ecosport,2018,1025000.0,Third Party insurance,15.9
Bangalore,Diesel,SUV,Manual,1,Mahindra XUV500,2016,1000000.0,Third Party insurance,16
Bangalore,Petrol,Sedan,Manual,1,Fiat Linea,2009,375000.0,Third Party insurance,16
Bangalore,Petrol,Sedan,Manual,1,Fiat Linea,2009,375000.0,Third Party insurance,16
Bangalore,Petrol,SUV,Automatic,1,Ford Ecosport,2018,844000.0,Comprehensive,14.8
Bangalore,Diesel,Hatchback,Manual,1,Hyundai i20 Active,2016,764000.0,Third Party insurance,21.19
Bangalore,Petrol,Hatchback,Manual,2,Maruti Ritz,2014,420000.0,Third Party insurance,18.5
Bangalore,Diesel,Hatchback,Manual,1,Maruti Baleno,2016,684000.0,Third Party insurance,27.39
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno,2019,802999.9999999999,Zero Dep,21.4
Bangalore,Petrol,Hatchback,Manual,2,Hyundai Santro Xing,2010,320000.0,Third Party insurance,17.92
Bangalore,Diesel,Sedan,Manual,1,Honda City,2017,803999.9999999999,Comprehensive,26
Bangalore,Diesel,Sedan,Automatic,2,Mercedes-Benz E-Class,2013,1400000.0,Third Party insurance,10
Bangalore,Petrol,Hatchback,Manual,2,Maruti Swift,2016,548000.0,Comprehensive,22.38
Bangalore,Petrol,Hatchback,Manual,1,Hyundai Grand i10,2019,619000.0,Comprehensive,18.9
Bangalore,Diesel,SUV,Manual,2,Maruti Vitara Brezza,2018,1000000.0,Third Party insurance,24.3
Bangalore,Petrol,SUV,Manual,1,Honda WR-V,2018,865000.0,Comprehensive,17.5
Bangalore,Diesel,SUV,Automatic,2,Mahindra Ssangyong Rexton,2014,1000000.0,Third Party insurance,11.18
Bangalore,Diesel,Hatchback,Manual,2,Maruti Swift,2014,535000.0,Comprehensive,25.2
Bangalore,Diesel,SUV,Manual,1,Ford Ecosport,2018,975000.0,Comprehensive,23
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno,2017,699000.0,Third Party insurance,21.4
Bangalore,Petrol,SUV,Manual,1,Tata Nexon,2021,1150000.0,Third Party insurance,17.57
Bangalore,Petrol,Hatchback,Manual,2,Hyundai i20,2015,625000.0,Comprehensive,18.6
Bangalore,Diesel,Sedan,Automatic,4,Mercedes-Benz E-Class,2011,1000000.0,Third Party insurance,14.21
Bangalore,Diesel,Sedan,Manual,1,Toyota Corolla Altis,2011,600000.0,Third Party insurance,21.43
Bangalore,Petrol,Sedan,Manual,1,Maruti Swift Dzire,2015,675000.0,Third Party,22.41
Bangalore,Petrol,Sedan,Manual,1,Maruti Ciaz,2021,893000.0,Comprehensive,20.65
Bangalore,Diesel,Hatchback,Manual,2,Maruti Swift,2012,420000.0,Third Party insurance,22.9
